Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR2532315,RNA-Seq,102,2869851600,PRJNA297219,SAMN04122214,2039152553,184A1,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293288,GSM1897275,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T15:59:00Z,1,GSM1897275,breast cancer cell line,SRP064259
SRR2532316,RNA-Seq,102,4204158684,PRJNA297219,SAMN04122215,2950206508,184B5,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293289,GSM1897276,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:01:00Z,1,GSM1897276,breast cancer cell line,SRP064259
SRR2532317,RNA-Seq,102,3877820496,PRJNA297219,SAMN04122216,2787557469,600MPE,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293290,GSM1897277,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:01:00Z,1,GSM1897277,breast cancer cell line,SRP064259
SRR2532318,RNA-Seq,102,4870682172,PRJNA297219,SAMN04122157,3510369329,AU565,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293291,GSM1897278,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:16:00Z,1,GSM1897278,breast cancer cell line,SRP064259
SRR2532319,RNA-Seq,102,1878422412,PRJNA297219,SAMN04122158,1332343969,BT20,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293292,GSM1897279,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T15:58:00Z,1,GSM1897279,breast cancer cell line,SRP064259
SRR2532320,RNA-Seq,102,3694669602,PRJNA297219,SAMN04122159,2610333902,BT474,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293293,GSM1897280,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:01:00Z,1,GSM1897280,breast cancer cell line,SRP064259
SRR2532321,RNA-Seq,102,3757442136,PRJNA297219,SAMN04122160,2674832854,BT483,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293294,GSM1897281,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:01:00Z,1,GSM1897281,breast cancer cell line,SRP064259
SRR2532322,RNA-Seq,102,3169901838,PRJNA297219,SAMN04122161,2252843022,BT549,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293295,GSM1897282,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:00:00Z,1,GSM1897282,breast cancer cell line,SRP064259
SRR2532323,RNA-Seq,102,4630848552,PRJNA297219,SAMN04122162,3300042733,CAL120,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293296,GSM1897283,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:03:00Z,1,GSM1897283,breast cancer cell line,SRP064259
SRR2532324,RNA-Seq,102,3919776156,PRJNA297219,SAMN04122163,2784435563,CAL148,breast cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1293297,GSM1897284,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-01-14T00:00:00Z,2015-09-28T16:06:00Z,1,GSM1897284,breast cancer cell line,SRP064259
